ip_name,series_name,series_year,product_name,category_group,category,kuji_prize_tier,characters,character_aliases,manufacturer,official_price,release_date,tags,image_url,source_url
進擊的巨人,一番賞 進擊的巨人～歷史的軌跡～,2026,里維·阿卡曼 最終戰Ver. 模型公仔,立體公仔類,公仔,A賞,里維·阿卡曼,兵長,BANDAI SPIRITS,¥850,2026-03-15,一番賞;BANDAI SPIRITS;公仔,https://snk.1kuji.com/images/2026_levi.jpg,https://1kuji.com/products/shingeki2026
進擊的巨人,進擊的巨人～The Final Season 完結紀念展～,2026,壓克力立牌 艾連·葉卡,生活雜貨類,立牌,,艾連·葉卡,艾主席,MAPPA,¥1650,2026-01-20,MAPPA展;壓克力立牌,https://mappa-onlineshop.com/images/eren_ar_2026.jpg,https://mappa-onlineshop.com/products/snk_2026_eren
進擊的巨人,進擊的巨人～The Final Season 完結紀念展～,2026,紀念原畫馬克杯,生活雜貨類,馬克杯,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特,艾主席;;,MAPPA,¥2200,2026-01-20,MAPPA展;馬克杯;原畫,https://mappa-onlineshop.com/images/mug_2026.jpg,https://mappa-onlineshop.com/products/snk_2026_mug
進擊的巨人,黏土人 進擊的巨人,2026,黏土人 米卡莎·阿卡曼 最終季Ver.,立體公仔類,公仔,,米卡莎·阿卡曼,,Good Smile Company,¥6500,2026-05-30,黏土人;GSC;可動公仔,https://images.goodsmile.info/nendoroid_mikasa_fs.jpg,https://www.goodsmile.info/zh/product/2026mikasa/
進擊的巨人,扭蛋 進擊的巨人～三溫暖篇～,2026,三溫暖排隊公仔 漢吉·佐耶,立體公仔類,扭蛋公仔,,漢吉·佐耶,團長;分隊長,BANDAI,¥400,2026-02-15,扭蛋;萬代;三溫暖,https://gashapon.jp/images/2026_hange.jpg,https://gashapon.jp/products/detail_2026_hange
進擊的巨人,進擊的巨人～10週年紀念聯名～,2026,調查兵團雙色托特包,包袋類,托特包,,艾爾文·史密斯;里維·阿卡曼;漢吉·佐耶,團長;兵長;分隊長,SuperGroupies,¥14300,2026-04-10,SuperGroupies;聯名;包包,https://super-groupies.com/images/snk_bag_2026.jpg,https://super-groupies.com/product/snk_bag_2026
進擊的巨人,一番賞 進擊的巨人～地鳴的餘波～,2025,阿爾敏·亞魯雷特 超大型巨人Ver. 模型公仔,立體公仔類,公仔,B賞,阿爾敏·亞魯雷特,,BANDAI SPIRITS,¥850,2025-10-25,一番賞;BANDAI SPIRITS;超大型巨人,https://snk.1kuji.com/images/2025_armin.jpg,https://1kuji.com/products/shingeki2025
進擊的巨人,一番賞 進擊的巨人～地鳴的餘波～,2025,壓克力畫板,紙製/影像類,畫板,F賞,艾連·葉卡;吉克·葉卡,艾主席;獸之巨人,BANDAI SPIRITS,¥850,2025-10-25,一番賞;BANDAI SPIRITS;兄弟,https://snk.1kuji.com/images/2025_board.jpg,https://1kuji.com/products/shingeki2025
進擊的巨人,POP UP PARADE,2025,POP UP PARADE 萊納·布朗 鎧甲巨人Ver.,立體公仔類,公仔,,萊納·布朗,鎧甲巨人;萊納,Good Smile Company,¥4800,2025-08-31,POP UP PARADE;GSC;不可動,https://www.goodsmile.info/images/2025reiner.jpg,https://www.goodsmile.info/zh/product/2025reiner/
進擊的巨人,進擊的巨人～Anique線上特展～,2025,閃耀雷射徽章 里維,配戴隨身類,徽章,,里維·阿卡曼,兵長,Anique,¥660,2025-07-15,Anique;徽章;盲抽,https://shop.anique.jp/images/snk_levi_badge_2025.jpg,https://shop.anique.jp/products/snk-badge-levi-2025
